4340674427,pos,"RT: @JorgeArrate: Marca la diferencia... Arrate Presidente http://bit.ly/2ngpSI #Chile"
4094146200,neg,"@marco2010 opino exactamente lo mismo! me parece una injusticia tremenda..."
3737529505,neg,"CEP: la izuerda le dio la espalda a Frei"
3971048074,neg,"caxando frei y peñera tienen deficit atencional, nunca entienden lo que les pregunta"
3566109783,neg,"Si. @sebastianpinera dio en el clavo. Bolt era un perro que juraba que tenia &quot;poder&quot; cuando en realidad nunca tuvo"
4370915184,neg,"Realmente piñera inconsistente. Malo el candidato, Poh hombre ! http://bit.ly/2ZjImK"
4335125037,neg,"@dlazo Si, qué feo. Mejor que le teman a Piñera, el zombie"
4334102676,neg,"@sanfeliu a piraña..perdon piñera mintiendo"
3990301115,neg,"EPIC FAIL RT @Manena: ... para @marco2010 &quot;ser chileno es una tragedia&quot;. ¡Fuertes declaraciones! http://tinyurl.com/mnonk7"
3548607687,pos,"@copano que progresista Piñera, va a respetar nuestro derecho a carretear ¬¬"
4334315375,pos,"Qué talla más buena Frei"
3998712373,neg,"Adolfo Zaldívar es la persona mas yoísta que he visto... detracito viene Piñera! Que personas más desagradables"
3800222019,pos,"@sebastianpinera Me pareció genial el giro que los asesores dieron a su campaña. Estaba harto de los colores del &quot;Sí&quot; una y otra vez."
4333923604,neg,"Aunque no lo parezca, Frei está cagado de la risa"
4357513102,neg,"Sobre el debate: Piñera debe darle matices a su discurso, Frei tendrá que creerse el cuento..MEO, desacelerarse...y Arrate conseguirse lucas"
4333023059,neg,"Piñera: Mucho ruido y pocas nueces... Como siempre."
4342766407,pos,"@marco2010 Mientras unos creaban castillos en el aire, Marco daba propuestas claras con datos reales y concretos. EXCELENTE!"
4334436060,pos,"Arrate, el gran ganador"
4332915090,neg,"#debate09 Las respuestas de @marco2010 son horriblemente malas..."
3737287465,pos,"RT @pinera77: En todo baja frei y sube piñera!/ Vamos a ganar! http://myloc.me/wier"
3541431581,neg,"@marco2010 a la fifa no le gustó hacer un mundial en dos paises (korea-japón) por lo cual no creo que les guste tu propuesta!!!"
